Marker	g00	Gene	One	Two	Three	Four	Goterms	KO	Function
pacnes16:g002099:G000302515:PAC1_RS05300__WP_002520479.1_1	g002099	2099	267747.PPA1029	0	2674.8	HRPA	"GO:0003674,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006396,GO:0006397,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016071,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0034641,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044270,GO:0044281,GO:0044710,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0055086,GO:0070035,GO:0071704,GO:0072521,GO:0072523,GO:0090304,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658"	K03578	ATP-dependent helicase hrpA
pacnes16:g000877:G000144875:HMPREF9593_RS01655__WP_002541008.1_1	g000877	877	765123.HMPREF9621_02555	0	2453.3				YD repeat protein
pacnes16:g000556:G000144715:HMPREF9610_RS0111330__pseudo_1	g000556	556	267747.PPA1569	0	2578.5	ENGCP	"GO:0005575,GO:0005618,GO:0005623,GO:0030312,GO:0044464,GO:0071944"	K17624	Inherit from bactNOG: cell wall surface anchor family protein
pacnes16:g001536:G000194865:HMPREF9341_RS05650__WP_002521401.1_1	g001536	1536	267747.PPA1569	0	2501.5	ENGCP	"GO:0005575,GO:0005618,GO:0005623,GO:0030312,GO:0044464,GO:0071944"	K17624	Inherit from bactNOG: cell wall surface anchor family protein
pacnes16:g000171:G000144185:HMPREF9564_RS10335__WP_002519862.1_1	g000171	171	267747.PPA0102	0	2649.4	COBN		K02230	"cobaltochelatase, cobn subunit"
pacnes16:g003980:G001297145:AK827_RS07675__WP_054174460.1_1	g003980	3980	267747.PPA0102	0	2521.1	COBN		K02230	"cobaltochelatase, cobn subunit"
pacnes16:g000607:G000144735:HMPREF9612_RS05010__WP_002538745.1_1	g000607	607	267747.PPA1883	0	2525	RPOC		K03046	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)
pacnes16:g001597:G000194905:HMPREF9344_RS0111600__pseudo_1	g001597	1597	267747.PPA0791	1.00E-192	677.9			"K02230,K03403"	"cobaltochelatase, cobn subunit"
pacnes16:g001597:G000194905:HMPREF9344_RS0111600__pseudo_2	g001597	1597	765123.HMPREF9621_00759	0	1160.2			"K02230,K03403"	"cobaltochelatase, cobn subunit"
pacnes16:g002282:G000496915:H498_RS08155__WP_023487517.1_1	g002282	2282	267747.PPA0510	0	2602.4	NARG	"GO:0003674,GO:0003824,GO:0004617,GO:0005488,GO:0005506,GO:0005575,GO:0005623,GO:0005886,GO:0006091,GO:0006461,GO:0006807,GO:0008150,GO:0008152,GO:0009055,GO:0009061,GO:0009987,GO:0015980,GO:0016020,GO:0016043,GO:0016491,GO:0016614,GO:0016616,GO:0016651,GO:0017004,GO:0022607,GO:0030151,GO:0031224,GO:0034622,GO:0043167,GO:0043169,GO:0043623,GO:0043933,GO:0044085,GO:0044237,GO:0044425,GO:0044464,GO:0044710,GO:0045333,GO:0046872,GO:0046914,GO:0051536,GO:0051539,GO:0051540,GO:0055114,GO:0065003,GO:0070271,GO:0071822,GO:0071840,GO:0071944"	"K00370,K17050"	"nitrate reductase, alpha subunit"
pacnes16:g003774:G000735065:PAST3_RS01470__WP_032504374.1_1	g003774	3774	267747.PPA1261	0	2449.1	SUCA	"GO:0000287,GO:0003674,GO:0003824,GO:0004591,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006082,GO:0006091,GO:0006099,GO:0006103,GO:0006520,GO:0006807,GO:0008150,GO:0008152,GO:0008683,GO:0009055,GO:0009060,GO:0009987,GO:0015980,GO:0016020,GO:0016491,GO:0016624,GO:0016740,GO:0016744,GO:0016829,GO:0016830,GO:0016831,GO:0016903,GO:0019752,GO:0030312,GO:0032991,GO:0040007,GO:0043167,GO:0043169,GO:0043234,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0045254,GO:0045333,GO:0046872,GO:0050439,GO:0055114,GO:0071704,GO:0071944,GO:1901564"	"K00164,K01616"	"2-oxoglutarate dehydrogenase, E1"
pacnes16:g000998:G000144895:HMPREF9578_RS10860__WP_002532925.1_1	g000998	998	267747.PPA0541	0	2334.3	MFD	"GO:0000166,GO:0000715,GO:0000716,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003824,GO:0004386,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006259,GO:0006281,GO:0006283,GO:0006289,GO:0006355,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0008026,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009889,GO:0009987,GO:0010468,GO:0010556,GO:0016020,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019219,GO:0019222,GO:0019439,GO:0019637,GO:0019693,GO:0030554,GO:0031323,GO:0031326,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0033554,GO:0034641,GO:0034655,GO:0035639,GO:0036094,GO:0042278,GO:0042454,GO:0042623,GO:0043167,GO:0043168,GO:0043170,GO:0043566,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044270,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051252,GO:0051276,GO:0051716,GO:0055086,GO:0060255,GO:0065007,GO:0070035,GO:0071704,GO:0071840,GO:0071944,GO:0072521,GO:0072523,GO:0080090,GO:0090304,GO:0097159,GO:1901135,GO:1901136,GO:1901265,GO:1901292,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658,GO:2000112,GO:2001141"	K03723	Transcription-repair coupling factor
pacnes16:g000118:G000144045:HMPREF9608_RS04265__WP_002546344.1_1	g000118	118	267747.PPA0162	0	2399.8	NIFJ		K03737	Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin (By similarity)
pacnes16:g000141:G000144185:HMPREF9564_RS01885__WP_002517831.1_1	g000141	141	267747.PPA1150	0	2399	DNAE	"GO:0003674,GO:0003824,GO:0003887,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009360,GO:0009987,GO:0016020,GO:0016740,GO:0016772,GO:0016779,GO:0030312,GO:0032991,GO:0034061,GO:0034641,GO:0034645,GO:0040007,GO:0042575,GO:0043170,GO:0043234,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:1901360,GO:1901576"	"K02337,K14162"	DNA polymerase III subunit alpha
pacnes16:g000122:G000144045:HMPREF9608_RS06565__WP_002520585.1_1	g000122	122	765123.HMPREF9621_01808	0	2316.2	RPOB	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0016020,GO:0044424,GO:0044464"	"K03043,K13797"	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)
pacnes16:g003687:G000735065:PAST3_RS0110295__pseudo_1	g003687	3687	267747.PPA0620	4.80E-250	868.6	PUTA		"K00294,K13821"	Dehydrogenase
pacnes16:g003687:G000735065:PAST3_RS0110295__pseudo_2	g003687	3687	267747.PPA0620	0	1317.4	PUTA		"K00294,K13821"	Dehydrogenase
pacnes16:g000781:G000144815:HMPREF9576_RS07815__WP_002541920.1_1	g000781	781	267747.PPA0216	0	2301.6	ILES	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	K01870	"amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile) (By similarity)"
pacnes16:g001353:G000178055:HMPREF9207_RS07190__WP_032505445.1_1	g001353	1353	267747.PPA2334	0	2296.5				
pacnes16:g003073:G000521425:JCM18918_3364__GAE77484.1_1	g003073	3073	267747.PPA1621	0	2231.1	LYSS	"GO:0003674,GO:0003824,GO:0004812,GO:0004824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006430,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016020,GO:0016070,GO:0016874,GO:0016875,GO:0016876,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043170,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044281,GO:0044424,GO:0044464,GO:0044710,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:1901360,GO:1901564,GO:1901576"	K04567	lysyl-tRNA synthetase
pacnes16:g001778:G000213155:PAZ_RS08395__pseudo_1	g001778	1778	267747.PPA1693	0	1505.7	SCLAV_2116			glycosyl transferase family
pacnes16:g001778:G000213155:PAZ_RS08395__pseudo_2	g001778	1778	267747.PPA1693	1.30E-166	590.9	SCLAV_2116			glycosyl transferase family
pacnes16:g001814:G000217615:TIB1ST10_RS09125__WP_002531277.1_1	g001814	1814	267747.PPA1805	0	2204.5	SP_0498	"GO:0005575,GO:0005618,GO:0005623,GO:0030312,GO:0044464,GO:0071944"	K01227	endo-beta-n-acetylglucosaminidase
pacnes16:g002191:G000472405:B148_RS0109885__WP_024513574.1_1	g002191	2191	267747.PPA1570	0	2213	TRI1	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	K08676	protease
pacnes16:g003243:G000521445:JCM18920_1525__GAE79907.1_1	g003243	3243	267747.PPA1320	0	2020.4	ADDB	"GO:0000002,GO:0003674,GO:0003678,GO:0003824,GO:0004003,GO:0004386,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006259,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006996,GO:0007005,GO:0008026,GO:0008094,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0016020,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0031974,GO:0032042,GO:0032392,GO:0032508,GO:0034641,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0043138,GO:0043140,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044270,GO:0044281,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0055086,GO:0070013,GO:0070035,GO:0071103,GO:0071704,GO:0071840,GO:0071944,GO:0072521,GO:0072523,GO:0090304,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658"	"K03657,K07464,K16899,K19781"	helicase
pacnes16:g000819:G000144835:HMPREF9574_RS03985__WP_002520189.1_1	g000819	819	267747.PPA1316	0	2136.7	RECB		K03582	UvrD REP helicase
pacnes16:g001019:G000145115:HMPREF9601_RS02185__WP_002517954.1_1	g001019	1019	267747.PPA1319	0	2100.1	UVRD2	"GO:0005575,GO:0005576,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0040007,GO:0044464,GO:0071944"	K03657	helicase
pacnes16:g000530:G000144505:HMPREF9563_RS03115__WP_002515490.1_1	g000530	530	267747.PPA1000	0	2085.5	CARB		K01955	Carbamoyl-phosphate synthetase ammonia chain
pacnes16:g003619:G000735055:PAST2_RS02660__WP_002513389.1_1	g003619	3619	267747.PPA1315	0	2020.4	RECC	"GO:0003674,GO:0003678,GO:0003824,GO:0004003,GO:0004386,GO:0004518,GO:0004519,GO:0004527,GO:0004529,GO:0004536,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006259,GO:0006281,GO:0006302,GO:0006310,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006974,GO:0008026,GO:0008094,GO:0008150,GO:0008152,GO:0008854,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009338,GO:0009987,GO:0016020,GO:0016462,GO:0016787,GO:0016788,GO:0016796,GO:0016817,GO:0016818,GO:0016887,GO:0016895,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0030312,GO:0032392,GO:0032508,GO:0032991,GO:0033554,GO:0034641,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0043170,GO:0043234,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044270,GO:0044281,GO:0044424,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0050896,GO:0051716,GO:0055086,GO:0070035,GO:0071103,GO:0071704,GO:0071944,GO:0072521,GO:0072523,GO:0090304,GO:0090305,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658"	K03583	"exodeoxyribonuclease V, gamma"
pacnes16:g000616:G000144735:HMPREF9612_RS07470__WP_002538534.1_1	g000616	616	267747.PPA0062	0	2136.3	MT0676	"GO:0003674,GO:0003824,GO:0004553,GO:0004559,GO:0005575,GO:0005623,GO:0005886,GO:0005975,GO:0005996,GO:0006013,GO:0006629,GO:0006643,GO:0006664,GO:0008150,GO:0008152,GO:0009056,GO:0009311,GO:0009313,GO:0009987,GO:0015923,GO:0016020,GO:0016042,GO:0016052,GO:0016787,GO:0016798,GO:0019318,GO:0019377,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044464,GO:0044710,GO:0044723,GO:0044724,GO:0046466,GO:0071704,GO:0071944,GO:1901135,GO:1901136,GO:1901575"	K01191	"hydrolase, family 38"
pacnes16:g001569:G000194865:HMPREF9341_RS08760__WP_002520954.1_1	g001569	1569	267747.PPA0062	0	2065.8	MT0676	"GO:0003674,GO:0003824,GO:0004553,GO:0004559,GO:0005575,GO:0005623,GO:0005886,GO:0005975,GO:0005996,GO:0006013,GO:0006629,GO:0006643,GO:0006664,GO:0008150,GO:0008152,GO:0009056,GO:0009311,GO:0009313,GO:0009987,GO:0015923,GO:0016020,GO:0016042,GO:0016052,GO:0016787,GO:0016798,GO:0019318,GO:0019377,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044464,GO:0044710,GO:0044723,GO:0044724,GO:0046466,GO:0071704,GO:0071944,GO:1901135,GO:1901136,GO:1901575"	K01191	"hydrolase, family 38"
pacnes16:g002154:G000376705:PAGK_RS11975__WP_015588743.1_1	g002154	2154	428125.CLOLEP_00154	0	1949.1				LysM domain
pacnes16:g001607:G000194905:HMPREF9344_RS02420__pseudo_1	g001607	1607	1051006.HMPREF1162_0514	1.00E-49	201.1	HSDR		K01153	"Type I site-specific deoxyribonuclease, HsdR family"
pacnes16:g001607:G000194905:HMPREF9344_RS02420__pseudo_2	g001607	1607	1051006.HMPREF1162_0514	0	1667.5	HSDR		K01153	"Type I site-specific deoxyribonuclease, HsdR family"
pacnes16:g000707:G000144795:HMPREF9587_RS01250__WP_002537285.1_1	g000707	707	267747.PPA1650	0	2047.3	DNAE2	"GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006281,GO:0006301,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009636,GO:0009987,GO:0016020,GO:0018130,GO:0019438,GO:0019985,GO:0030312,GO:0033554,GO:0034641,GO:0034645,GO:0034654,GO:0042221,GO:0042276,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0044699,GO:0044763,GO:0046483,GO:0046677,GO:0050896,GO:0051716,GO:0071704,GO:0071897,GO:0071944,GO:0090304,GO:1901360,GO:1901362,GO:1901576"	"K02337,K14162"	DNA polymerase involved in damage-induced mutagenesis and translesion synthesis (TLS). It is not the major replicative DNA polymerase (By similarity)
pacnes16:g003840:G000735065:PAST3_RS06075__WP_032503324.1_1	g003840	3840	267747.PPA1459	0	2101.2	AMS1		K01191	Alpha-mannosidase (EC 3.2.1.24)
pacnes16:g000632:G000144755:HMPREF9571_RS03100__pseudo_1	g000632	632	267747.PPA0742	0	1968.4	GCVP	"GO:0003674,GO:0003824,GO:0004375,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0008150,GO:0008152,GO:0016020,GO:0016491,GO:0016638,GO:0016642,GO:0030312,GO:0040007,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0055114,GO:0071944"	"K00281,K00283"	The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor
pacnes16:g000576:G000144715:HMPREF9610_RS07455__WP_002539334.1_1	g000576	576	267747.PPA0807	0	1974.9	UVRA	"GO:0000018,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006950,GO:0006974,GO:0008150,GO:0009607,GO:0009892,GO:0009987,GO:0010605,GO:0016020,GO:0019219,GO:0019222,GO:0030312,GO:0031323,GO:0031324,GO:0033554,GO:0044403,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044763,GO:0045910,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051052,GO:0051053,GO:0051171,GO:0051172,GO:0051701,GO:0051704,GO:0051707,GO:0051716,GO:0052173,GO:0052200,GO:0052564,GO:0052572,GO:0060255,GO:0060542,GO:0060543,GO:0065007,GO:0071944,GO:0075136,GO:0080090"	K03701	"The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate (By similarity)"
pacnes16:g000928:G000144895:HMPREF9578_RS0111710__pseudo_1	g000928	928	267747.PPA1700	0	1590.1	LACZ		"K01190,K01195,K12111"	beta-galactosidase
pacnes16:g000928:G000144895:HMPREF9578_RS0111710__pseudo_2	g000928	928	267747.PPA1700	3.10E-139	499.6	LACZ		"K01190,K01195,K12111"	beta-galactosidase
pacnes16:g000527:G000144505:HMPREF9563_RS01600__WP_042140661.1_1	g000527	527	267747.PPA0666	0	1884.4	GLNE	"GO:0000820,GO:0003674,GO:0003824,GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0006521,GO:0008150,GO:0008152,GO:0008882,GO:0010565,GO:0016020,GO:0016740,GO:0016772,GO:0016779,GO:0019222,GO:0030312,GO:0031323,GO:0033238,GO:0040007,GO:0042221,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0060359,GO:0065007,GO:0070566,GO:0071944,GO:0080090,GO:1901698"	K00982	Adenylation and deadenylation of glutamate--ammonia ligase (By similarity)
pacnes16:g000459:G000144465:HMPREF9599_RS06370__WP_002531848.1_1	g000459	459	267747.PPA1634	0	1879	YDIJ			Oxidoreductase
pacnes16:g000416:G000144465:HMPREF9599_RS00915__WP_002521898.1_1	g000416	416	765123.HMPREF9621_00899	4.40E-221	773.5	NAGH	"GO:0005575,GO:0005618,GO:0005623,GO:0030312,GO:0044464,GO:0071944"	"K01197,K12373"	beta-N-acetylglucosaminidase
pacnes16:g000945:G000144895:HMPREF9578_RS03315__WP_002533306.1_1	g000945	945	267747.PPA1634	0	1833.9	YDIJ			Oxidoreductase
pacnes16:g001289:G000145535:HMPREF9569_RS08720__pseudo_1	g001289	1289	267747.PPA0199	0	1764.2				RHS Repeat
pacnes16:g000064:G000025765:HMPREF0675_RS07570__WP_002516995.1_1	g000064	64	267747.PPA1493	0	1764.6	INFB	"GO:0003674,GO:0003676,GO:0003723,GO:0003743,GO:0005488,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006412,GO:0006413,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016020,GO:0019538,GO:0030312,GO:0034645,GO:0040007,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0071704,GO:0071944,GO:0097159,GO:1901363,GO:1901576"	K02519	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex (By similarity)
pacnes16:g000090:G000144025:HMPREF9613_RS04075__WP_002524989.1_1	g000090	90	267747.PPA1026	0	1887.5	NRDJ		K00525	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)
