Organism	g00	KO	Function
mluteus16	g003928	"K08300,K08301"	ribonuclease
mluteus16	g002874	K01153	type iii restriction
mluteus16	g001120	"K08300,K08301"	ribonuclease
mluteus16	g000607	"K00691,K03731,K18784"	Hydrolase
mluteus16	g002804		Conserved protein
mluteus16	g004101	K00568	Non-specific O-methyltransferase that catalyzes the 2 O- methylation steps in the ubiquinone biosynthetic pathway (By similarity)
mluteus16	g002894	K01955	Carbamoyl-phosphate synthetase ammonia chain
mluteus16	g001643	K06994	MmpL domain protein
mluteus16	g002726	K06994	MmpL domain protein
mluteus16	g001766		DNA methyltransferase
mluteus16	g001064		DNA methyltransferase
mluteus16	g003973	K01153	Restriction
mluteus16	g002885	K03296	acriflavin resistance protein
mluteus16	g002979		glycosyl transferase
mluteus16	g000875	K03466	cell division protein FtsK
mluteus16	g001200	K14338	FAD binding domain
mluteus16	g003194		helicase domain protein
mluteus16	g001768	K09118	UPF0182 protein
mluteus16	g003593	K00982	Adenylation and deadenylation of glutamate--ammonia ligase (By similarity)
mluteus16	g001114	K01153	"Type I site-specific deoxyribonuclease, HsdR family"
mluteus16	g000415	K00982	Adenylation and deadenylation of glutamate--ammonia ligase (By similarity)
mluteus16	g003071	K00982	Adenylation and deadenylation of glutamate--ammonia ligase (By similarity)
mluteus16	g002730	"K00341,K05565"	subunit l
mluteus16	g002994	"K00341,K05565"	subunit l
mluteus16	g003998	"K00341,K05565"	subunit l
mluteus16	g001642	"K00341,K05565"	subunit l
mluteus16	g004010	"K01361,K08652,K14647,K14743"	"peptidase S8 and S53, subtilisin, kexin, sedolisin"
mluteus16	g001436	K03546	Exonuclease
mluteus16	g000730	"K01361,K08652,K14647,K14743"	"peptidase S8 and S53, subtilisin, kexin, sedolisin"
mluteus16	g000730	"K01361,K08652,K14647,K14743"	"peptidase S8 and S53, subtilisin, kexin, sedolisin"
mluteus16	g000132	K03466	FtsK/SpoIIIE family
mluteus16	g003134	K03727	helicase
mluteus16	g002612	K03701	"The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate (By similarity)"
mluteus16	g000438	K03727	helicase
mluteus16	g003437		acyl-CoA synthetase (AMP-forming) AMP-acid ligase II
mluteus16	g003045	"K00281,K00283"	The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor
mluteus16	g000447	K05565	monovalent cation H antiporter subunit A
mluteus16	g003379	K05565	monovalent cation H antiporter subunit A
mluteus16	g001235	K03168	"Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone (By similarity)"
mluteus16	g003149		Inherit from bactNOG: methylase
mluteus16	g002924	K07012	"CRISPR-associated helicase, Cas3"
mluteus16	g003216	"K02335,K03469,K06966"	dna polymerase I
mluteus16	g000010		
mluteus16	g000127	K02519	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex (By similarity)
mluteus16	g002551	K02519	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex (By similarity)
mluteus16	g003146		acyl-CoA synthetase (AMP-forming) AMP-acid ligase II
mluteus16	g001703	K01153	type iii restriction
mluteus16	g001333	K00163	"Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2) (By similarity)"
mluteus16	g003920	K07004	Endonuclease Exonuclease phosphatase
mluteus16	g000928	K03070	"Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane (By similarity)"
mluteus16	g003440	K09181	CoA-binding domain protein
mluteus16	g003107	K09181	CoA-binding domain protein
mluteus16	g000425	K01872	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain (By similarity)
mluteus16	g001168	K01434	Penicillin amidase
mluteus16	g003573	K01681	aconitate hydratase
mluteus16	g000580	K02469	"DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)"
mluteus16	g000918	K03579	ATP-dependent helicase HrpB
mluteus16	g000170	K01873	"amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner (By similarity)"
mluteus16	g003862	K01873	"amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner (By similarity)"
mluteus16	g000744	K01256	aminopeptidase N
mluteus16	g000744	K01256	aminopeptidase N
mluteus16	g000976	K01256	aminopeptidase N
mluteus16	g000954		helicase
mluteus16	g002439	"K03695,K03696"	ATP-dependent chaperone ClpB
mluteus16	g002188		glycosyl transferase group 1
mluteus16	g003290	K06877	dEAD DEAH box helicase
mluteus16	g003439	K02469	DNA topoisomerase IV subunit A
mluteus16	g004138		
mluteus16	g000223	K02238	ComEC Rec2-like protein
mluteus16	g003108	K02469	DNA topoisomerase IV subunit A
mluteus16	g000659	"K03695,K03696"	ATP-dependent chaperone ClpB
mluteus16	g001080		glycosyl transferase group 1
mluteus16	g001410	K01156	type III restriction enzyme
mluteus16	g003682	K03701	Excinuclease abc subunit a
mluteus16	g001583	K01890	"phenylalanyl-tRNA synthetase, beta subunit"
mluteus16	g003093		serine threonine protein kinase
mluteus16	g002498	K03657	ATP-dependent DNA helicase
mluteus16	g003780	K03657	ATP-dependent DNA helicase
mluteus16	g000455		"Inherit from bactNOG: peptidase S8 and S53, subtilisin, kexin, sedolisin"
mluteus16	g000028	K03696	ATP-dependent CLP protease ATP-binding subunit
mluteus16	g003693		
mluteus16	g003384	K02004	"ABC, transporter"
mluteus16	g001417	K12952	"Atpase, p-type (Transporting), had superfamily, subfamily ic"
mluteus16	g003902	"K07027,K14205"	Membrane
mluteus16	g000755	K01869	Leucyl-tRNA synthetase
mluteus16	g001715	"K01533,K17686,K19597"	p-type atpase
mluteus16	g003348	"K05343,K06044"	malto-oligosyltrehalose synthase
mluteus16	g003523	"K01533,K17686,K19597"	p-type atpase
mluteus16	g000598	K01421	YhgE Pip C-terminal domain protein
mluteus16	g000106	K01972	DNA ligase (NAD+) activity
mluteus16	g003090		Amp-dependent synthetase and ligase
mluteus16	g003375		BCCT family transporter
mluteus16	g001846		Protein of unknown function DUF262
mluteus16	g000728	K00700	"Catalyzes the formation of the alpha-1,6-glucosidic linkages in glycogen by scission of a 1,4-alpha-linked oligosaccharide from growing alpha-1,4-glucan chains and the subsequent attachment of the oligosaccharide to the alpha-1,6 position (By similarity)"
mluteus16	g000728	"K00700,K01236"	"Catalyzes the formation of the alpha-1,6-glucosidic linkages in glycogen by scission of a 1,4-alpha-linked oligosaccharide from growing alpha-1,4-glucan chains and the subsequent attachment of the oligosaccharide to the alpha-1,6 position (By similarity)"
mluteus16	g001245	K01153	type iii restriction
mluteus16	g001769	K12132	serine threonine protein kinase
mluteus16	g000938	K01952	phosphoribosylformylglycinamidine synthase ii
mluteus16	g003715		LysM domain
mluteus16	g000656	"K06994,K07003"	MmpL domain protein
mluteus16	g003218	"K00951,K01139"	In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity)
mluteus16	g003669	K03657	helicase
mluteus16	g003509		group 1 glycosyl transferase
mluteus16	g000832	K12132	serine threonine protein kinase
mluteus16	g001991	K03657	helicase
mluteus16	g001322		glycosyl transferase group 1
mluteus16	g000910	K06200	Carbon starvation protein
mluteus16	g001233	K02343	"DNA polymerase III, subunits gamma and tau"
mluteus16	g001655	"K01081,K11751"	5'-nucleotidase
mluteus16	g001815	K00962	Involved in mRNA degradation. Hydrolyzes single-stranded polyribonucleotides processively in the 3'- to 5'-direction (By similarity)
mluteus16	g003869	K06200	Carbon starvation protein
mluteus16	g000326	"K02351,K07245"	Copper resistance
mluteus16	g003619	"K01322,K01354"	Oligopeptidase B
mluteus16	g002844	K01654	synthase
mluteus16	g003098	"K01533,K17686"	p-type atpase
mluteus16	g002933	K00031	Isocitrate dehydrogenase
mluteus16	g000040	K03781	Catalase
mluteus16	g001540	K07093	twin-arginine translocation pathway signal
mluteus16	g003793		Ftsk spoIIIe family protein
mluteus16	g003278	K01895	A synthetase (EC 6.2.1.1)
mluteus16	g002488	K03654	ATP-dependent DNA helicase
mluteus16	g003551		glycosyl transferase group 1
mluteus16	g000305	"K05592,K11927"	Helicase
mluteus16	g000465	K03655	ATP-dependent DNA helicase recG
mluteus16	g001356		Integrase
mluteus16	g002819	"K05364,K05366"	penicillin-binding protein
mluteus16	g000234	"K00074,K01782,K01825"	3-hydroxyacyl-CoA dehydrogenase
mluteus16	g000989	K00525	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)
mluteus16	g001420	"K00074,K01782"	3-hydroxyacyl-CoA dehydrogenase
mluteus16	g002616	K00615	Transketolase (EC 2.2.1.1)
mluteus16	g003360	K03466	ftsk SpoIIIE family protein
mluteus16	g002448		peptidase s9 prolyl oligopeptidase active site domain protein
mluteus16	g001925	K02470	"DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)"
mluteus16	g004078	"K05592,K11927"	Helicase
mluteus16	g000870	"K05592,K11927"	Helicase
mluteus16	g001411	K07316	methylase
mluteus16	g001739		Serine Threonine protein kinase
mluteus16	g000139	K03628	"Facilitates transcription termination by a mechanism that involves Rho binding to the nascent RNA, activation of Rho's RNA-dependent ATPase activity, and release of the mRNA from the DNA template (By similarity)"
mluteus16	g003664	"K01961,K01968,K11263,K13777"	carboxylase
mluteus16	g001522	"K01533,K17686"	p-type atpase
mluteus16	g004017		conserved transmembrane protein
mluteus16	g000704	K03657	Helicase
mluteus16	g000682	K02438	glycogen debranching enzyme glgx
mluteus16	g000957	K03702	"damaged site, the DNA wraps around one UvrB monomer. DNA wrap is dependent on ATP binding by UvrB and probably causes local melting of the DNA helix, facilitating insertion of UvrB beta-hairpin between the DNA strands. Then UvrB probes one DNA strand for the presence of a lesion. If a lesion is found the UvrA subunits dissociate and the UvrB-DNA preincision complex is formed. This complex is subsequently bound by UvrC and the second UvrB is released. If no lesion is found, the DNA wraps around the other UvrB subunit that will check the other stand for damage (By similarity)"
mluteus16	g003744		"TRAP transporter, 4TM 12TM fusion protein"
mluteus16	g000211	K00232	acyl-CoA oxidase
mluteus16	g000823		GlcNAc-PI de-N-acetylase
mluteus16	g001530	"K02168,K05020"	Choline carnitine betaine
mluteus16	g003016	"K02618,K15514"	phenylacetic acid degradation protein
mluteus16	g002996	"K05592,K11927"	Helicase
mluteus16	g002220		Protein of unknown function DUF262
mluteus16	g000105		Acyl-transferase
mluteus16	g000900	K02355	"Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity)"
mluteus16	g004102		
mluteus16	g002440	"K08884,K12132"	serine threonine protein kinase
mluteus16	g000716	"K02470,K02622"	DNA topoisomerase IV subunit B
mluteus16	g003082	K06147	abc transporter
mluteus16	g000437	K00219	NADH flavin oxidoreductase NADH oxidase
mluteus16	g003268	"K02470,K02622"	DNA topoisomerase IV subunit B
mluteus16	g000216	"K13572,K13573"	Transcriptional regulator
mluteus16	g003452	K03722	helicase
mluteus16	g002733		alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen
mluteus16	g000531	"K01176,K16147"	"Maltosyltransferase that uses maltose 1-phosphate (M1P) as the sugar donor to elongate linear or branched alpha-(1- 4)- glucans. Is involved in a branched alpha-glucan biosynthetic pathway from trehalose, together with TreS, Mak and GlgB (By similarity)"
mluteus16	g001301	K01284	peptidyl-dipeptidase Dcp
mluteus16	g001441	K03628	"Facilitates transcription termination by a mechanism that involves Rho binding to the nascent RNA, activation of Rho's RNA-dependent ATPase activity, and release of the mRNA from the DNA template (By similarity)"
mluteus16	g003897	K03798	"Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins (By similarity)"
mluteus16	g000338	K19224	domain protein
mluteus16	g003058	"K08884,K12132"	serine threonine protein kinase
mluteus16	g000032	"K00625,K13788"	Involved in acetate metabolism (By similarity)
mluteus16	g003940		"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
mluteus16	g001853		
mluteus16	g002449	"K01389,K01415,K07386"	Endothelin-converting enzyme 1
mluteus16	g000224	K04066	Primosomal protein n'
mluteus16	g002629	K04066	Primosomal protein n'
mluteus16	g000399		Serine Threonine protein kinase
mluteus16	g001906	K01868	Threonyl-tRNA synthetase
mluteus16	g003576	K01662	Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP) (By similarity)
mluteus16	g000737	K00284	glutamate synthase
mluteus16	g002127	K07114	"von Willebrand factor, type A"
mluteus16	g001590		
mluteus16	g001086		
mluteus16	g001702	K03427	N-6 DNA Methylase
mluteus16	g003200	"K01534,K12954"	heavy metal translocating p-type ATPase
mluteus16	g000064	"K00700,K01176,K01236"	maltooligosyl trehalose trehalohydrolase
mluteus16	g001756	K06147	abc transporter
mluteus16	g001169	K03895	IucA IucC family protein
mluteus16	g001138		glycosyltransferase
mluteus16	g002974		glycosyl transferase group 1
mluteus16	g001439	K01534	heavy metal translocating p-type ATPase
mluteus16	g001439	K01534	heavy metal translocating p-type ATPase
mluteus16	g001439	K01534	heavy metal translocating p-type ATPase
mluteus16	g002689		Choline carnitine betaine
mluteus16	g003936	"K01895,K01908"	Amp-dependent synthetase and ligase
mluteus16	g000059		Inherit from COG: oxidoreductase
mluteus16	g001791	"K01534,K12954"	heavy metal translocating p-type ATPase
mluteus16	g000236		amino acid
mluteus16	g000641	K09384	Uncharacterized conserved protein (DUF2075)
mluteus16	g001269	"K01534,K12954"	heavy metal translocating p-type ATPase
mluteus16	g003294	"K02551,K14759"	Catalyzes the thiamine diphosphate-dependent decarboxylation of 2-oxoglutarate and the subsequent addition of the resulting succinic semialdehyde-thiamine pyrophosphate anion to isochorismate to yield 2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylate (SEPHCHC) (By similarity)
mluteus16	g002821	K01895	"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA (By similarity)"
mluteus16	g002707	"K02551,K14759"	Catalyzes the thiamine diphosphate-dependent decarboxylation of 2-oxoglutarate and the subsequent addition of the resulting succinic semialdehyde-thiamine pyrophosphate anion to isochorismate to yield 2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylate (SEPHCHC) (By similarity)
mluteus16	g003131	K07654	Histidine kinase
mluteus16	g000202	K03703	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5' and 3' sides of the lesion. The N-terminal half is responsible for the 3' incision and the C-terminal half is responsible for the 5' incision (By similarity)
mluteus16	g003344	K09694	ABC-2 type transporter
mluteus16	g003349	"K14645,K14743"	Peptidase S8 and S53 subtilisin kexin sedolisin
mluteus16	g000459	K01534	heavy metal translocating p-type ATPase
mluteus16	g001476		Amino acid export carrier protein
mluteus16	g003889	"K03380,K19065"	Monooxygenase
mluteus16	g001763	"K08884,K12132"	Serine Threonine protein kinase
mluteus16	g000110	"K02316,K09117"	DNA primase is the polymerase that synthesizes small RNA primers for the Okazaki fragments on both template strands at replication forks during chromosomal DNA synthesis (By similarity)
mluteus16	g000696	K06207	GTP-binding protein TypA
mluteus16	g001505	K06207	GTP-binding protein TypA
mluteus16	g000894		Pfam:DUF2081
mluteus16	g001156	K03205	type IV secretory pathway VirD4 protein-like protein
mluteus16	g003343		Glycosyl transferase family 2
mluteus16	g000472	K01652	acetolactate synthase
mluteus16	g003884	"K01854,K16699"	"Glycosyl transferase, group"
mluteus16	g003747		Protein of unknown function (DUF1524)
mluteus16	g001458	"K06147,K06148,K16013"	ABC superfamily ATP binding cassette transporter
mluteus16	g001726	"K03380,K14252"	Phenol 2-monooxygenase
mluteus16	g000670		hydrolase
mluteus16	g002675	"K02031,K02032"	(ABC) transporter
mluteus16	g001303		
mluteus16	g003324		TAP domain protein
mluteus16	g001502	K02035	extracellular solute-binding protein
mluteus16	g003034		"drug resistance transporter, EmrB QacA subfamily"
mluteus16	g001504	"K02031,K02032"	(ABC) transporter
mluteus16	g003878	K00820	"Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source (By similarity)"
mluteus16	g001804		Acyltransferase
mluteus16	g001428	K09694	ABC-2 type transporter
mluteus16	g002496	"K06147,K06148"	abc transporter
mluteus16	g000660	K06147	abc transporter
mluteus16	g004054	"K00627,K00658,K09699"	"2-oxoglutarate dehydrogenase E2 component, dihydrolipoamide succinyltransferase"
mluteus16	g004152		
mluteus16	g000015	K04043	Acts as a chaperone (By similarity)
mluteus16	g000423	"K03072,K12257"	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity)
mluteus16	g000222	K03596	"Required for accurate and efficient protein synthesis under certain stress conditions. May act as a fidelity factor of the translation reaction, by catalyzing a one-codon backward translocation of tRNAs on improperly translocated ribosomes. Back- translocation proceeds from a post-translocation (POST) complex to a pre-translocation (PRE) complex, thus giving elongation factor G a second chance to translocate the tRNAs correctly. Binds to ribosomes in a GTP-dependent manner (By similarity)"
mluteus16	g001645	K04043	Acts as a chaperone (By similarity)
mluteus16	g002126	K02168	Transporter
mluteus16	g001547	"K01710,K13013"	Polysaccharide biosynthesis protein
mluteus16	g002187	K02035	extracellular solute-binding protein
mluteus16	g002528	K11263	carboxylase
mluteus16	g001977		Glutaminase
mluteus16	g001323		glycosyl transferase group 1
mluteus16	g000540	K01596	"Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP), the rate-limiting step in the metabolic pathway that produces glucose from lactate and other precursors derived from the citric acid cycle (By similarity)"
mluteus16	g002866	K03980	Integral membrane protein (MviN
mluteus16	g000514	K15738	abc transporter
mluteus16	g001310	K11927	Helicase
mluteus16	g000516	K01897	Amp-dependent synthetase and ligase
mluteus16	g000661		(ABC) transporter
mluteus16	g001125	K01897	Amp-dependent synthetase and ligase
mluteus16	g000269	K11927	Helicase
mluteus16	g000153		glycosyl transferase group 1
mluteus16	g002548	K01881	"Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro). As ProRS can inadvertently accommodate and process non-cognate amino acids such as alanine and cysteine, to avoid such errors it has two additional distinct editing activities against alanine. One activity is designated as 'pretransfer' editing and involves the tRNA(Pro)-independent hydrolysis of activated Ala-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Ala-tRNA(Pro). The misacylated Cys- tRNA(Pro) is not edited by ProRS (By similarity)"
mluteus16	g002959	"K03587,K08384"	penicillin-binding protein
mluteus16	g002455	"K01182,K01187"	"Alpha amylase, catalytic region"
mluteus16	g000136	K03147	Catalyzes the synthesis of the hydroxymethylpyrimidine phosphate (HMP-P) moiety of thiamine from aminoimidazole ribotide (AIR) in a radical S-adenosyl-L-methionine (SAM)-dependent reaction (By similarity)
mluteus16	g003666	K03313	Na( ) H( ) antiporter that extrudes sodium in exchange for external protons (By similarity)
mluteus16	g002248	K01876	Aspartyl-tRNA synthetase
mluteus16	g000982	"K02022,K06147,K06148,K11085"	ABC transporter
mluteus16	g000146		ATP-binding protein
mluteus16	g003195		Domain of unknown function (DUF1998)
mluteus16	g002581		glycosyl transferase group 1
mluteus16	g000852	K02484	Histidine kinase
mluteus16	g003556		
mluteus16	g001508	K00873	Pyruvate kinase
mluteus16	g001326		
mluteus16	g002797	"K06158,K18230,K18231,K19349"	ABC transporter
mluteus16	g001215	K03205	type IV secretory pathway VirD4 protein-like protein
mluteus16	g000523	"K00239,K00242"	Succinate dehydrogenase (Flavoprotein subunit)
mluteus16	g001666	"K00666,K01897"	Amp-dependent synthetase and ligase
mluteus16	g000002	K03205	type IV secretory pathway VirD4 protein-like protein
mluteus16	g000974	K01895	synthetase
mluteus16	g000889	"K00105,K00111"	Glycerol-3-phosphate dehydrogenase
mluteus16	g000328	K11263	carboxylase
mluteus16	g000643		Protein of unknown function (DUF1524)
mluteus16	g003691		peptidase'
mluteus16	g002504	K10254	Myosin-crossreactive antigen
mluteus16	g003184	"K01457,K06351,K06942"	"Allophanate hydrolase, subunit 1"
mluteus16	g000147		abc transporter
mluteus16	g003970		Transcriptional regulator
mluteus16	g003604	K01928	acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan (By similarity)
mluteus16	g001757	"K06147,K06148"	abc transporter
mluteus16	g000795	"K13525,K13527"	AAA ATPase
mluteus16	g003246	"K02031,K02032,K10823,K10824,K15587"	abc transporter
mluteus16	g001320		glycosyl transferase group 1
mluteus16	g002920	"K06158,K18230,K18231,K19349"	ABC transporter
mluteus16	g002920	"K06158,K18230,K18231,K19349"	ABC transporter
mluteus16	g001619		lipoprotein lpqB
mluteus16	g002002		type IV secretory pathway VirD4 protein-like protein
mluteus16	g003354	K03631	May be involved in recombinational repair of damaged DNA (By similarity)
mluteus16	g001539	K02335	DNA polymerase
mluteus16	g002900	K01077	Inherit from bactNOG: alkaline phosphatase
mluteus16	g000221	K01649	Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate) (By similarity)
mluteus16	g002888		type iii restriction
mluteus16	g003978	K02063	"ABC transporter, integral membrane protein"
mluteus16	g003502	"K01835,K01840"	Phosphoglucomutase phosphomannomutase alpha beta alpha domain
mluteus16	g000166	"K14337,K14339"	Inherit from bactNOG: Membrane
mluteus16	g002574	K01687	Dihydroxy-acid dehydratase
mluteus16	g000796	K13571	Proteasome
mluteus16	g004140		peptidase'
mluteus16	g001787	K07399	cytochrome C
mluteus16	g001704	K03655	Transcriptional regulator
mluteus16	g000733	K01835	Phosphoglucomutase (EC 5.4.2.2
mluteus16	g003900	K03655	Transcriptional regulator
mluteus16	g001067	K01652	acetolactate synthase
mluteus16	g003905	K03655	Transcriptional regulator
mluteus16	g001446		Protein of unknown function DUF262
mluteus16	g004032	"K01090,K11890,K11915,K20074"	phosphatase
mluteus16	g004002	"K00156,K00158,K18288"	Pyruvate dehydrogenase
mluteus16	g002484	K01428	Urea amidohydrolase subunit alpha
mluteus16	g002596	"K00366,K00381,K00392"	Sulfite reductase
mluteus16	g002529	K08261	GMC oxidoreductase
mluteus16	g002441	"K01090,K11890,K11915,K20074"	phosphatase
mluteus16	g000417	K08884	Serine Threonine protein kinase
mluteus16	g000019	K00384	thioredoxin reductase
mluteus16	g002977		Inherit from NOG: glycosyl transferase group 1
mluteus16	g000219	K02274	"Cytochrome C oxidase, subunit I"
mluteus16	g004005		Thiosulfate reductase cytochrome B subunit (Membrane anchoring protein)
mluteus16	g003466	"K09835,K10027"	Phytoene desaturase
mluteus16	g003040		Thiosulfate reductase cytochrome B subunit (Membrane anchoring protein)
mluteus16	g002685	K14445	transporter
mluteus16	g002299	K03307	symporter
mluteus16	g000798	K07399	cytochrome C
mluteus16	g002195	K01712	urocanate hydratase (EC 4.2.1.49)
mluteus16	g000667	K07399	cytochrome C
mluteus16	g002463	K01712	urocanate hydratase (EC 4.2.1.49)
